User,Alam,Hiburan,Kuliner,Olahraga,Rekreasi,Religius,Sejarah Edukasi,Seni Budaya
User 114,1,1.63,1.89,1.12,1.43,0.76,2.825,1.07
User 115,1,1.63,1.976,1.12,1.4275,1.25,2.47,2.74
User 116,0.995,1.63,1.298,1.11,2.495,0.75,2.465,2.745
User 117,1,1.635,1.296,0.72,1.43,1.24,2.405,2.745
User 118,3.16,1.635,1.296,0.72,2.4825,1.24,2.4,2.745
User 119,1.015,1.85,1.298,0.73,2.9925,1.24,2.44,1.07
User 120,0.995,1.545,1.24,0.85,2.9775,1.24,2.42,1.07
User 121,0.99,1.77,2.172,0.83,2.98,0.74,2.415,1.07
User 122,0.995,1.54,2.668,0.82,2.0025,0.73,1.02,1.07
User 123,2.82,1.77,2.238,0.81,2.0025,5,1.02,1.075
User 124,0.99,1.77,2.648,0.81,1.95,0.73,2.685,1.075
User 125,0.995,1.77,2.218,0.81,1.95,1.39,1.01,1.065
User 126,0.99,1.765,2.668,0.8,1.9525,0.7,1.01,1.07
User 127,2.815,1.77,2.668,0.85,1.8825,0.7,2.68,1.045
User 128,2.82,1.77,1.99,0.8,1.075,0.69,2.825,1.07
User 129,2.82,2.885,2.074,0.79,1.065,0.69,2.82,1.07
User 130,2.82,2.89,2.108,0.78,1.0575,0.68,1,1.08
User 131,2.87,1.83,1.93,0.78,1.96,0.68,0.995,1.115
User 132,0.965,1.82,2.612,0.77,1.0475,0.78,0.995,3.175
User 133,0.95,1.82,2.612,0.77,1.0425,0.68,0.995,3.175
User 134,0.945,2.885,2.104,0.77,1.0225,0.67,0.995,3.175
User 135,0.945,2.885,2.116,0.77,1.04,0.75,1.04,3.175
User 136,0.95,2.885,2.116,0.76,1.035,0.73,1.05,3.18
User 137,0.95,2.885,2.116,0.76,1.0425,0.73,1,3.14
User 138,0.95,2.885,2.118,0.76,1.0425,0.76,1,3.13
User 139,0.95,2.885,2.116,0.76,1.04,0.76,0.995,3.175
User 140,0.96,2.88,2.164,0.76,1.045,0.77,1,3.13
User 141,0.96,2.88,2.122,0.76,1.045,0.77,1.005,3.13
User 142,0.965,2.88,2.11,0.75,1.0275,0.78,1.015,3.18
User 143,0.98,2.875,2.108,0.75,1.03,0.81,1.02,3.185
User 144,0.995,1.79,2.088,0.75,1.04,0.81,1.05,1.15
User 145,1.01,2.87,2.1,0.74,1.045,0.83,1.04,3.19
User 146,1.02,2.87,2.094,0.73,1.7175,0.85,1.06,3.195
User 147,1.04,2.865,2.094,0.73,1.72,0.86,1.07,3.195
User 148,1.05,2.865,2.07,0.72,1.73,0.77,1.085,3.2
User 149,1.07,2.86,2.086,0.72,1.74,0.79,1.105,3.2
User 150,1.085,2.855,2.086,0.71,1.7375,0.8,1.53,3.205
User 151,1.105,2.855,2.084,0.7,1.7375,0.82,1.535,3.21
User 152,1.125,2.85,2.052,0.69,1.7475,0.84,1.545,3.215
User 153,1.14,2.845,2.06,0.69,1.7525,0.86,1.56,3.215
User 154,1.16,2.845,2.04,0.68,1.7575,1.02,1.565,3.22
User 155,1.18,2.84,2.036,0.67,1.765,1.04,1.995,3.225
User 156,1.2,2.835,2.044,0.67,1.7775,1.12,2.01,3.225
User 157,1.225,2.83,2.038,0.66,1.7825,1.09,2.96,1.175
User 158,1.24,2.83,2.012,0.65,1.7825,1.8,2.73,3.235
User 159,1.26,2.825,2.238,0.65,1.7925,1.01,2.03,3.265
User 160,1.28,2.82,1.998,0.64,1.795,1.58,2.745,3.13
User 161,1.295,2.815,1.994,0.63,1.805,1.6,2.75,3.275
User 162,1.315,2.815,2.904,0.62,1.8125,1.27,2.755,3.28
User 163,1.335,2.81,2.044,0.61,1.815,1.27,3.015,3.28
User 164,1.35,2.805,1.982,0.61,1.82,1.27,2.76,3.285
User 165,1.37,2.805,2.848,0.6,1.8375,1.28,2.765,3.29
User 166,1.385,2.8,1.968,0.59,1.8325,1.3,2.77,4.06
User 167,1.4,2.795,1.99,0.59,2.1025,1.32,2.77,4.055
User 168,1.415,2.795,1.96,0.58,2.105,1.7,2.78,3.305
User 169,1.425,2.79,1.95,0.58,2.1275,1.42,2.785,3.685
User 170,1.445,2.79,1.93,0.57,2.115,1.2,3.075,4.065
User 171,1.56,2.785,1.926,0.56,2.125,1.45,2.795,3.685
User 172,1.48,2.785,1.968,0.56,1.8675,1.28,2.8,4.07
User 173,1.585,2.78,1.876,0.56,1.885,1.28,2.8,4.08
User 174,1.51,2.775,1.874,0.55,2.6825,1.41,2.805,3.5
User 175,1.53,2.77,1.876,0.54,1.865,1.41,2.815,1.565
User 176,1.54,2.77,1.844,0.54,1.85,1.43,2.82,1.94
User 177,1.56,2.765,1.844,0.53,1.855,1.46,3.135,1.93
User 178,1.58,1.11,1.834,0.52,1.8725,1.48,2.825,1.93
User 179,1.59,1.095,1.834,0.52,2.1375,1.5,2.835,1.92
User 180,1.61,1.08,1.844,0.51,2.6875,1.42,2.845,1.915
User 181,1.625,1.075,1.824,0.5,2.565,1.54,2.845,1.915
User 182,1.635,1.07,1.83,0.5,2.56,1.4,2.845,2.04
User 183,1.705,2.755,1.83,0,1.8075,1.37,3.175,4.1
User 184,1.635,2.76,1.822,0,1.8075,1.36,2.845,3.715
User 185,1.635,2.76,1.822,0,1.8075,1.36,2.85,4.105
User 186,1.64,2.76,1.816,0,1.79,1.37,2.285,4.105
User 187,1.64,2.765,1.816,0,2.065,1.36,2.28,3.715
User 188,1.635,2.77,1.812,0,1.9525,1.36,2.28,4.105
User 189,1.635,2.775,1.816,0,1.95,1.36,2.28,4.105
User 190,1.705,2.78,1.812,0,1.95,1.36,2.28,4.105
User 191,1.465,2.79,1.712,0,1.785,1.36,2.28,2.045
User 192,1.395,2.785,1.71,0,1.785,1.36,2.28,2.055
User 193,1.395,2.79,1.708,0,1.785,1.36,2.28,2.05
User 194,1.26,2.79,1.71,0,1.785,1.35,2.28,2.055
User 195,1.26,2.795,1.854,0,1.785,1.35,2.28,1.99
User 196,1.5,2.795,1.854,0,1.785,1.35,2.28,1.985
User 197,1.265,2.755,1.742,0,1.795,1.35,2.28,2.06
User 198,1.5,2.755,1.742,0,2.5575,1.35,2.28,2.93
User 199,1.495,2.8,1.736,0,2.5725,1.35,2.28,1.335
User 200,1.5,2.765,1.666,0,1.945,1.35,2.285,1.32
User 201,1.495,2.805,1.752,0,1.945,1.38,1.82,2.04
User 202,1.495,2.815,1.75,0,1.79,1.35,2.29,2.925
User 203,1.49,2.87,1.768,0,1.6275,1.34,2.29,1.385
User 204,1.485,2.86,1.764,0,1.9625,1.34,1.67,1.385
User 205,3.045,5,1.768,0,1.8225,1.34,2.295,1.385
User 206,1.235,2.93,1.768,0,1.6425,1.34,1.52,1.39
User 207,3.315,2.895,1.756,0,1.77,1.34,1.46,1.4
User 208,3.29,2.895,1.522,0,2.2125,1.34,1.425,1.755
User 209,1.04,2.385,1.444,0,2.2125,1.34,1.415,3.1
User 210,1.04,2.92,1.442,0,2.0525,1.34,1.435,1.56
User 211,1.025,2.38,1.534,0,1.79,1.34,3.015,1.565
User 212,0.775,2.38,1.436,0,2.0575,1.34,1.435,1.56
User 213,1.025,2.38,1.436,0,2.0575,1.34,1.49,1.56
User 214,1.025,2.38,1.436,0,2.055,1.34,1.44,1.56
User 215,1.03,2.38,1.546,0,2.065,1.34,1.44,1.56
User 216,1.035,2.38,1.434,0,2.065,1.34,3.02,1.565
User 217,1.035,2.37,1.432,0,2.065,1.35,3.02,1.56
User 218,1.045,2.37,1.428,0,1.8275,1.36,2.775,1.56
User 219,1.04,2.365,1.426,0,1.8025,1.36,1.195,2.375
User 220,1.435,2.36,1.42,0,1.7675,1.37,1.425,1.575
User 221,3.205,2.355,1.416,0,1.775,1.38,1.425,2.365
User 222,3.21,2.345,1.412,0,1.93,1.39,1.43,1.57
User 223,3.21,2.345,1.534,0,2.54,1.4,2.085,1.81
User 224,3.215,2.335,1.528,0,1.66,1.41,2.085,1.77
User 225,1.05,2.9,1.524,0,1.9475,1.42,1.455,1.81
User 226,1.06,2.725,1.522,0.54,1.5975,1.43,1.39,1.765
User 227,1.05,2.815,2.306,0.55,1.5975,1.44,2.975,1.695
User 228,1.495,4.745,2.304,0.51,1.605,1.45,1.47,1.775
User 229,1.075,4.74,2.202,0.51,1.61,1.45,1.475,1.505
User 230,3.24,2.475,2.196,0.51,1.61,1.47,1.485,1.51
User 231,1.08,2.305,2.194,0.51,1.67,1.48,1.5,1.505
User 232,1.085,2.295,2.192,0.51,1.6775,1.49,1.245,1.51
User 233,3.25,2.29,1.724,0.51,1.68,1.5,1.51,1.51
User 234,3.26,2.435,1.82,0.51,1.6775,1.51,3.01,1.525
User 235,3.26,2.275,1.916,0.52,1.6825,1.52,3.135,1.455
User 236,3.265,2.275,1.912,0.52,1.685,1.53,3.355,1.46
User 237,1.58,2.41,1.806,0.53,1.6875,1.54,2.915,1.505
User 238,3.275,2.405,1.908,0.53,1.6925,1.55,1.195,1.52
User 239,3.28,2.395,1.904,0.54,1.695,1.56,1.18,1.725
User 240,3.285,2.395,1.862,0.57,1.7,1.57,1.575,1.515
User 241,3.29,2.38,1.9,0.55,1.815,1.58,1.525,1.52
User 242,1.13,2.38,1.894,0.63,1.705,1.33,1.525,1.515
User 243,1.12,2.365,1.894,0.57,1.7125,1.34,1.56,1.515
User 244,1.165,2.355,1.526,0.56,1.8925,1.36,1.24,1.71
User 245,1.14,2.345,1.516,0.57,1.775,1.37,1.63,1.515
User 246,1.155,2.34,1.756,0.57,1.7975,1.39,1.175,1.695
User 247,1.17,2.33,1.506,0.58,1.74,1.41,1.275,1.515
User 248,1.185,2.49,1.872,0.58,1.745,1.42,1.385,1.405
User 249,1.21,2.315,1.5,0.59,1.81,1.44,1.3,1.39
User 250,1.225,2.31,1.486,0.6,1.7575,1.46,1.405,1.455
User 251,1.235,2.445,1.482,0.61,1.8175,1.48,1.42,1.44
User 252,1.275,2.425,1.474,0.61,1.825,1.5,3.425,1.41
User 253,1.25,2.265,1.472,0.62,1.8325,1.52,1.815,1.435
User 254,1.27,2.245,1.706,0.63,2.635,1.54,1.845,1.445
User 255,3.405,2.38,1.704,0.64,1.8425,1.55,1.86,1.425
User 256,3.415,2.405,1.696,0.64,2.635,1.57,1.405,1.42
User 257,3.42,2.405,1.692,0.65,2.595,1.59,1.44,1.41
User 258,3.435,2.39,1.738,0.66,1.8625,1.61,1.45,1.415
User 259,3.445,2.375,1.73,0.67,2.6375,1.64,1.77,1.515
User 260,3.45,2.36,1.722,0.67,2.6425,1.65,3.44,1.52
User 261,3.46,2.35,1.804,0.68,1.95,1.68,1.92,3.115
User 262,3.47,2.33,1.798,0.69,1.9525,1.7,3.445,1.415
User 263,3.48,2.32,1.794,0.7,1.8275,1.71,2.01,3.105
User 264,3.49,2.305,1.79,0.7,1.815,1.74,3.53,1.43
User 265,3.495,2.295,1.392,0.71,1.84,1.76,3.55,3.09
User 266,3.51,2.28,2.202,0.72,1.825,1.78,4.11,3.085
User 267,3.515,2.265,2.202,0.72,1.9325,2.03,4.11,3.08
User 268,3.525,3.065,2.594,0.73,1.9125,2.05,3.6,3.075
User 269,3.535,3.06,2.198,0.74,1.885,2.07,3.6,3.07
User 270,3.545,3.055,2.19,0.75,1.8925,2.09,2.045,3.065
User 271,3.555,2.225,2.192,0.76,1.895,2.1,3.645,1.7
User 272,3.565,2.21,2.184,0.74,1.92,2.12,1.785,1.925
User 273,3.575,2.2,2.178,0.74,1.92,2.14,2.65,3.645
User 274,3.64,2.18,2.174,0.75,1.88,2.16,2.715,4.505
User 275,1.56,2.17,2.172,0.8,1.87,2.18,2.71,4.5
User 276,5,2.16,2.17,0.8,1.895,2.2,3.125,1.625
User 277,5,2.145,2.224,0.96,1.8725,2.22,4.1,1.68
User 278,5,2.135,2.166,0.91,1.87,2.24,4.1,2.51
User 279,5,2.115,2.164,0.81,1.8525,2.32,2.235,1.665
User 280,5,2.105,1.39,0.85,1.86,2.33,2.245,1.67
User 281,5,2.09,1.382,0.93,1.865,2.35,4.1,1.665
User 282,3.71,2.08,1.376,1,1.8675,2.37,4.49,1.485
User 283,3.72,2.07,1.378,0.99,1.875,2.39,4.475,1.48
User 284,5,1.505,1.364,0.98,1.88,2.41,4.095,1.31
User 285,5,1.49,1.354,0.97,1.92,2.43,4.1,1.3
User 286,5,1.485,1.348,0.84,1.925,2.45,4.46,1.47
User 287,5,1.47,1.308,0.81,1.925,2.47,4.11,1.47
User 288,5,1.46,1.304,0.8,1.9225,2.48,2.76,2.24
User 289,5,2.015,1.348,0.79,1.925,2.22,4.105,1.455
User 290,4.61,2.015,1.426,0.78,1.9175,2.2,4.45,1.46
User 291,4.61,2.025,1.428,0.78,1.8625,2.2,4.45,2.925
User 292,4.61,2.035,1.428,0.78,1.8675,2.19,4.455,2.925
User 293,4.61,2.03,1.428,0.78,1.84,2.19,4.455,2.93
User 294,4.61,2.035,1.428,0.78,1.865,2.19,4.455,2.93
User 295,4.61,2.025,1.428,0.78,1.8675,2.2,4.45,2.935
User 296,3.37,2.025,1.428,0.78,1.845,2.2,4.45,2.935
User 297,3.37,2.025,1.432,0.78,1.845,2.2,4.45,2.935
User 298,3.37,2.025,1.43,0.78,1.8475,2.2,4.45,2.935
User 299,3.37,2.03,1.43,0.78,1.8725,2.2,4.45,2.935
User 300,3.375,2.025,1.432,0.78,1.8725,2.2,4.45,2.93
User 301,3.375,2.025,1.432,0.78,1.875,2.2,4.45,2.93
User 302,3.375,2.02,1.43,0.78,1.8775,2.21,4.45,2.935
User 303,4.61,2.02,1.448,0.78,1.855,2.21,4.45,2.93
User 304,4.61,2.02,1.448,0.78,1.855,2.21,4.45,2.93
User 305,3.39,2.02,1.438,0.78,1.855,2.22,4.45,1.68
User 306,3.395,2.01,1.436,0.78,1.8575,2.23,4.445,1.96
User 307,4.615,2,1.428,0.77,2.005,2.24,4.445,1.67
User 308,3.4,1.995,1.42,0.78,1.8625,2.26,4.455,1.675
User 309,3.4,1.525,1.416,0.77,1.8675,2.27,4.455,1.94
User 310,4.625,1.52,1.418,0.77,1.865,2.29,4.435,1.665
User 311,4.625,1.515,1.292,0.78,2.025,2.31,4.43,1.66
User 312,4.63,1.505,2.206,0.78,1.885,2.33,4.425,1.655
User 313,3.45,1.495,1.362,0.78,2.035,2.34,4.42,1.48
User 314,4.635,1.505,1.25,0.86,2.7125,2.36,4.42,2.92
User 315,3.47,1.69,1.236,0.85,2.6925,2.38,4.415,1.475
User 316,4.64,1.41,1.226,0.8,2.695,2.39,4.415,2.905
User 317,5,1.855,1.222,0.79,1.86,2.4,2.545,2.9
User 318,3.815,2.485,2.054,0.78,1.855,2.4,2.545,1.635
User 319,3.81,1.81,2.05,0.78,1.8475,2.4,2.545,2.895
User 320,3.805,1.805,2.054,0.79,1.8475,2.4,2.55,2.895
User 321,3.805,1.805,1.822,0.79,1.9775,2.39,2.55,2.895
User 322,3.805,1.805,1.822,0.79,1.8475,2.39,2.55,2.895
User 323,3.805,1.805,1.822,0.79,1.845,2.4,4.41,2.895
User 324,3.805,1.805,1.824,0.78,1.8525,2.4,2.555,2.895
User 325,3.805,1.805,2.062,0.78,2.53,2.39,3.365,2.895
User 326,3.805,1.8,1.84,0.79,2.53,2.09,4.415,2.895
User 327,3.805,1.8,1.844,0.79,3.1575,2.4,4.415,2.895
User 328,3.805,1.8,1.822,0.88,2.1825,2.4,2.5,2.895
User 329,3.805,1.8,1.842,0.88,3.155,2.09,2.5,1.505
User 330,3.805,1.805,1.842,0.87,3.155,2.09,2.5,1.5
User 331,1.775,1.805,1.83,0.87,3.155,1.98,2.485,1.49
User 332,1.775,1.805,1.83,0.87,2.605,1.98,4.42,1.49
User 333,1.76,1.8,1.826,0.87,2.6075,1.72,4.42,1.49
User 334,1.765,1.8,1.814,0.87,3.2025,1.6,3.22,1.5
User 335,1.76,1.795,1.232,0.88,3.205,1.59,1.7,1.46
User 336,1.77,1.795,1.23,0.87,2.9625,1.59,3.215,1.46
User 337,1.765,1.79,2.912,0.87,3.3325,1.59,1.705,1.46
User 338,1.765,1.79,2.89,0.87,3.5225,1.59,5,2.895
User 339,2.95,1.79,2.274,0.86,3.355,1.48,1.575,3.82
User 340,2.96,1.79,2.272,0,3.3525,1.62,1.56,1.725
User 341,2.22,1.79,1.898,0,3.065,1.32,1.555,1.715
User 342,2.925,1.79,1.462,0,3.065,1.35,1.565,1.715
User 343,1.63,1.785,1.464,0,3.0625,1.35,1.555,1.715
User 344,1.635,1.79,2.268,0,3.0625,1.28,1.56,1.715
User 345,1.755,1.79,2.278,0,3.06,1.35,1.525,2.895
User 346,1.755,1.79,2.27,0,3.0625,1.27,1.515,2.895
User 347,1.755,1.79,2.254,0,3.0625,5,1.555,2.895
User 348,1.755,1.79,2.25,0,3.0625,1.27,1.55,2.895
User 349,1.755,1.79,2.68,0,3.0625,5,1.535,2.895
User 350,1.755,1.79,2.776,0,2.8875,1.27,1.515,1.72
User 351,1.76,1.79,2.778,0,3.065,5,1.51,1.72
User 352,1.795,1.795,2.248,0.88,3.0625,2.91,1.515,2.895
User 353,1.635,1.795,2.45,0.87,3.08,2.91,1.52,1.72
User 354,1.63,1.805,2.882,0.87,3.0675,1.18,2.945,1.725
User 355,1.63,2.885,2.882,0.87,2.0525,1.17,1.51,3.82
User 356,1.495,2.885,2.482,0.78,2.055,1.51,2.92,3.82
User 357,1.475,1.8,2.48,0.78,2.055,1.08,1.745,3.82
User 358,1.425,1.8,2.484,0.77,2.625,1.09,1.74,3.82
User 359,1.635,1.8,2.504,0.77,1.77,1.08,1.74,3.82
User 360,1.37,1.795,2.502,0.77,1.9825,1.09,1.745,3.82
User 361,1.58,1.795,2.484,0.77,2.625,1.08,1.74,3.82
User 362,1.37,1.795,2.484,0.77,1.9825,1.08,1.74,3.82
User 363,1.37,1.795,2.732,0.77,1.9825,1.09,1.74,3.82
User 364,1.37,1.795,2.504,0.77,2.2275,1.18,1.74,3.825
User 365,1.815,1.795,2.502,0.77,1.985,1.18,1.75,1.805
User 366,1.37,1.795,2.5,0.77,1.9825,1.18,1.75,3.82
User 367,1.61,1.795,2.53,0.76,1.9875,5,1.75,1.805
User 368,1.825,1.785,2.528,0.76,1.74,1.1,1.755,3.825
User 369,1.595,1.785,2.526,0.76,1.9875,5,1.755,1.795
User 370,1.35,1.78,2.52,0.75,1.5725,1.3,1.76,1.795
User 371,1.355,1.77,2.702,0.75,1.9875,5,1.77,1.79
User 372,1.61,1.765,2.65,0.75,1.9875,1.13,1.785,1.785
User 373,1.61,1.765,2.886,0.74,1.5725,1.14,1.78,1.79
User 374,1.62,1.755,2.87,0.74,1.5775,1.15,1.85,1.785
User 375,1.63,1.75,2.868,0.73,1.58,1.16,2.95,1.785
User 376,1.64,1.74,2.858,0.75,1.5825,1.37,1.83,3.84
User 377,1.655,1.735,2.61,0.73,1.5875,0.97,1.83,3.84
User 378,2.91,2.865,2.856,0.72,1.5775,0.97,1.835,3.845
User 379,2.92,1.715,2.85,0.71,2.295,0.97,1.815,3.85
User 380,2.96,1.71,2.6,0.7,1.735,0.97,2.965,3.85
User 381,1.39,1.705,2.612,0.7,2.3,0.98,1.83,3.855
User 382,1.4,1.705,2.592,0.7,1.575,0.99,1.835,3.855
User 383,2.97,1.71,2.574,0.69,1.5775,0.99,1.835,3.86
User 384,2.975,1.74,2.566,0.69,1.6,1,1.84,3.225
User 385,2.975,1.725,2.562,0.69,1.6075,1.01,1.845,3.86
User 386,2.98,2.895,2.558,0.68,1.5825,5,1.85,3.225
User 387,2.985,2.89,2.418,0.68,1.59,5,1.855,3.865
User 388,1.44,2.88,2.394,0.68,1.595,1.03,1.825,3.87
User 389,1.41,2.875,1.7,0.67,1.61,1.04,1.835,3.87
User 390,1.39,2.875,1.692,0.67,1.6575,5,1.84,3.875
User 391,3,2.875,1.682,0.66,1.6225,5,1.855,3.205
