,Resto Name,Address,Resto Phone Number,Tipe Masakan,Resto Rating,Link Website,Lattitute,Longitude
10,Depot Hok Lay,"Jl. K.H. Ahmad Dahlan 10 Klojen, Malang Indonesia",+62 341 364513,"Cina, Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+K.H.+Ahmad+Dahlan+10+Klojen%2C+Malang+Indonesia@-7.984519,112.634285",-7.984519,112.634285
11,Ayam Goreng Pemuda,"Jl. Semeru, Malang Indonesia",-,"Indonesia, Asia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Semeru%2C+Malang+Indonesia@-7.97549,112.6263",-7.975490,112.626297
12,Rumah Makan Inggil,"Jl. Gajah Mada no. 4, Malang 65119 Indonesia",+62 341 332110,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Gajah+Mada+no.+4%2C+Malang+65119+Indonesia@-7.979069,112.63512",-7.979069,112.635117
13,3M Makassar Malang,"Jl. Kawi Atas Kios no. 45, Malang 65142 Indonesia",+62 341 563181,"Cina, Asia, Indonesia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Kawi+Atas+Kios+no.+45%2C+Malang+65142+Indonesia@-7.97484,112.61737",-7.974840,112.617371
14,The Arbanat,"Jl. Terusan Dieng no 4-6, Malang 65115 Indonesia",+62 341 573000,"Amerika, Bar, Kafe, Eropa, Asia, Indonesia, Barat daya","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Terusan+Dieng+no+4-6%2C+Malang+65115+Indonesia@-7.97117,112.6071",-7.971170,112.607101
15,Depot Mie Sawahan,"Jl. Yulius Usman 15 B-C, Malang Indonesia",-,"Cina, Asia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Yulius+Usman+15+B-C%2C+Malang+Indonesia@-7.986356,112.62746",-7.986356,112.627457
16,Harmoni Cafe & Resto,"Jl Bromo 44, Malang Indonesia",+62 341 352911,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl+Bromo+44%2C+Malang+Indonesia@-7.974482,112.62758",-7.974482,112.627579
17,Madam Wang Secret Garden,"Jln. Telemoyo no. 12, Malang 65115 Indonesia",+62 341 566786,"Kafe, Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jln.+Telemoyo+no.+12%2C+Malang+65115+Indonesia@-7.972879,112.61896",-7.972879,112.618958
18,Soto Ayam Cak UU,"Jl. Trsn Dieng 65 Ruko kav.6, Malang Indonesia",+62 812-3534-523,Asia,"4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Trsn+Dieng+65+Ruko+kav.6%2C+Malang+Indonesia@-7.972804,112.60806",-7.972804,112.608063
19,Anusapati Restaurant,"Ngijo Street, Malang 65152 Indonesia",+62 896-5500-0055,"Asia, Indonesia","5,0 ","https://maps.google.com/maps?saddr=&daddr=Ngijo+Street%2C+Malang+65152+Indonesia@-7.903201,112.60983",-7.903201,112.609833
20,Ayam Kremes Madura Potre Koneng,"Jalan Raya Dieng no.2a Pojok Jalan Wilis depan kantor BPN, Malang 65141 Indonesia",+62 818-387-838,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jalan+Raya+Dieng+no.2a+Pojok+Jalan+Wilis+depan+kantor+BPN%2C+Malang+65141+Indonesia@-7.973117,112.61567",-7.973117,112.615669
21,Beryl Coffee,"Jl. Tawangmangu No.21 Lowokwaru, Malang 65141 Indonesia",+62 816-759-322,"Amerika, Asia, Italia","5,0 ",,0.0,0.0
22,Dapur Enak Eco,"Jl. Raya Ngijo no. 62 - 63 Ngijo. Karangploso, Malang 65152 Indonesia",+62 341 463969,"Asia, Indonesia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Raya+Ngijo+no.+62+-+63+Ngijo.+Karangploso%2C+Malang+65152+Indonesia@-7.90784,112.615875",-7.907840,112.615875
23,Resto Mie Gang Jangkrik,"Jl. Soekarno Hatta No.4-B, Malang 65141 Indonesia",+62 341 400115,"Sarapan, Makan Siang, Makan Malam","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Soekarno+Hatta+No.4-B%2C+Malang+65141+Indonesia@-7.945609,112.618835",-7.945609,112.618835
24,Warung Soto dan Rawon Kiroman,"Jl. Yulius Usman No.52 Kasin, Klojen, Malang 65117 Indonesia",+62 341 320470,"Sarapan, Makan Siang","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Yulius+Usman+No.52+Kasin%2C+Klojen%2C+Malang+65117+Indonesia@-7.985712,112.625984",-7.985712,112.625984
25,Sego Goreng Resek,"Jl. Brigjen Katamso, Malang Indonesia",-,"Asia, Indonesia","4,0 ",https://maps.google.com/maps?saddr=&daddr=Jl.+Brigjen+Katamso%2C+Malang+Indonesia,0.0,0.0
26,Warung Bu Kris,"Jl. Abdul Wahab no. 1 Siamin Ruko Villa Bukit Mas, RO-01, Surabaya 60225 Indonesia",+62 31 5611010,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Abdul+Wahab+no.+1+Siamin+Ruko+Villa+Bukit+Mas%2C+RO-01%2C+Surabaya+60225+Indonesia@-7.299633,112.70739",-7.299633,112.707390
27,Bu Rudy Dharmahusada,"Jl. Dharma Husada no. 140, Surabaya Indonesia",+62 31 5920996,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Dharma+Husada+no.+140%2C+Surabaya+Indonesia@-7.267247,112.76981",-7.267247,112.769814
28,Soto Ayam Lamongan Cak Har,"Jl. DR.Ir.H.Soekarno (MERR), Surabaya 60111 Indonesia",+62 857-0426-5904,"Asia, Indonesia, Sup","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+DR.Ir.H.Soekarno+%28MERR%29%2C+Surabaya+60111+Indonesia@-7.295662,112.78112",-7.295662,112.781120
29,Sate Kelopo Ondomohen Bu Asih,"Jl. Walikota Mustajab 36, Surabaya 60272 Indonesia",+62 31 5474575,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Walikota+Mustajab+36%2C+Surabaya+60272+Indonesia@-7.260068,112.74433",-7.260068,112.744331
30,D'kampoeng,"Jl. Aditiawarman no. 55 Surabaya Town Square Plaza Level 17-19A, Surabaya 60242 Indonesia",+62 31 5633962,"Indonesia, Asia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Aditiawarman+no.+55+Surabaya+Town+Square+Plaza+Level+17-19A%2C+Surabaya+60242+Indonesia@-7.295087,112.730446",-7.295087,112.730446
31,Warung Leko,"Jl. HR Muhammad Blok B-2, Ruko Surya Inti Permata, Surabaya 60226 Indonesia",+62 812-3207-7744,"Indonesia, Asia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+HR+Muhammad+Blok+B-2%2C+Ruko+Surya+Inti+Permata%2C+Surabaya+60226+Indonesia@-7.282747,112.686165",-7.282747,112.686165
32,Bebek Sinjay,"Jl. Kapas Krampung No. 45, Kapas Krampung Plaza Kaza City Lt. 3 blok B no. 5, Surabaya 60133 Indonesia",+62 821-4087-8880,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Kapas+Krampung+No.+45%2C+Kapas+Krampung+Plaza+Kaza+City+Lt.+3+blok+B+no.+5%2C+Surabaya+60133+Indonesia@-7.25068,112.77815",-7.250680,112.778152
33,Bebek Palupi,"Jl. Rungkut Asri Tengah no. 10, Surabaya Indonesia",-,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Rungkut+Asri+Tengah+no.+10%2C+Surabaya+Indonesia@-7.328617,112.775375",-7.328617,112.775375
34,Soto Ambengan,"Ambengan, Surabaya Indonesia",+62 623 15323998,"Asia, Indonesia, Sup","4,0 ","https://maps.google.com/maps?saddr=&daddr=Ambengan%2C+Surabaya+Indonesia@-7.26727,112.7611",-7.267270,112.761101
35,Boksa Bakso,"Jl. Sulawesi 13, Madiun 63116 Indonesia",+62 811-3611-175,"Asia, Indonesia, Kafe","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Sulawesi+13%2C+Madiun+63116+Indonesia@-7.628151,111.52189",-7.628151,111.521889
36,Nasi Pecel Yu Gembrot,"Jln. Imam Bonjol, Madiun 63117 Indonesia",-,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jln.+Imam+Bonjol%2C+Madiun+63117+Indonesia@-7.62518,111.53954",-7.625180,111.539543
37,Jiero Wedangan Madiun,"Jl. Bali 17, Madiun 63116 Indonesia",+62 822-4513-3311,"Asia, Indonesia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Bali+17%2C+Madiun+63116+Indonesia@-7.62494,111.52551",-7.624940,111.525513
38,Nasi Pecel Bu Wir Kabul,"Jl. Hos. Cokroaminoto 137, Madiun Indonesia",+62 351 497818,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Hos.+Cokroaminoto+137%2C+Madiun+Indonesia@-7.637954,111.51973",-7.637954,111.519730
39,Buli Buli,"Jl. Sutomo no. 63 Persimpangan Jalan Dr. Sutomo, Madiun 63132 Indonesia",+62 351 497997,Cina,"4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Sutomo+no.+63+Persimpangan+Jalan+Dr.+Sutomo%2C+Madiun+63132+Indonesia@-7.627626,111.52373",-7.627626,111.523727
40,Gado - Gado Pak Tomo,"Jl. Biliton No. 1 Depan Rumah Sakit St. Clara, Madiun 63122 Indonesia",+62 351 465085,Indonesia,"4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Biliton+No.+1+Depan+Rumah+Sakit+St.+Clara%2C+Madiun+63122+Indonesia@-7.61942,111.52645",-7.619420,111.526451
41,Nasi Pecel Sri Tanjung,"Jl. Cokroaminoto no. 145B, Madiun Indonesia",-,"Asia, Indonesia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Cokroaminoto+no.+145B%2C+Madiun+Indonesia@-7.63829,111.51971",-7.638290,111.519707
42,Warung Kopi Notoroso,"Jln. Kampar 41, Madiun 63131 Indonesia",+62 819-4644-7117,Kafe,"5,0 ","https://maps.google.com/maps?saddr=&daddr=Jln.+Kampar+41%2C+Madiun+63131+Indonesia@-7.64272,111.52203",-7.642720,111.522034
43,Ayam Goreng Kemangi,"Jl. Sulawesi no. 2A, Madiun 63116 Indonesia",+62 351 496060,"Asia, Indonesia, Cina, Makanan Laut","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Sulawesi+no.+2A%2C+Madiun+63116+Indonesia@-7.628,111.52322",-7.628000,111.523216
44,Kedai Bandeng Panorama,"Jl. Mawar No.18 Lingkungan Mojoroto R, Penataban, Giri, Banyuwangi 68422 Indonesia",+62 823-3595-1970,"Makanan Laut, Asia, Makanan Sehat, Indonesia, Sup, Makanan Bakar","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Mawar+No.18+Lingkungan+Mojoroto+R%2C+Penataban%2C+Giri%2C+Banyuwangi+68422+Indonesia@-8.205718,114.35423",-8.205718,114.354233
45,Rawon Bik Ati,"Jl. Ahmad Yani 83, Banyuwangi Indonesia",+62 333 423165,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Ahmad+Yani+83%2C+Banyuwangi+Indonesia@-8.44028,114.31674",-8.440280,114.316742
46,Srengenge Wetan Resto & Function Hall,"Jl. P.B. Sudirman no. 175 - 2, Banyuwangi 68416 Indonesia",+62 811-3689-060,"Indonesia, Asia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+P.B.+Sudirman+no.+175+-+2%2C+Banyuwangi+68416+Indonesia@-8.207484,114.37329",-8.207484,114.373291
47,Sego Bungkus Bu Poer,"Jl. Jend. Sudirman, Banyuwangi Indonesia",+62 813-2827-0195,"Asia, Indonesia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Jend.+Sudirman%2C+Banyuwangi+Indonesia@-8.213993,114.371155",-8.213993,114.371155
48,Warung Biru,"Jln. Kapten Pierre Tendean, Banyuwangi 68411 Indonesia",+62 823-3142-2858,"Makanan Laut, Indonesia, Asia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jln.+Kapten+Pierre+Tendean%2C+Banyuwangi+68411+Indonesia@-8.216742,114.375694",-8.216742,114.375694
49,Nasi Tempong Mbok Nah,"Jl. Kolonel Sugiono 16, Banyuwangi Indonesia",+62 852-3272-1222,Indonesia,"4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Kolonel+Sugiono+16%2C+Banyuwangi+Indonesia@-8.224124,114.37189",-8.224124,114.371887
50,Soup Kaki Kambing H. Pardi Grogol,"Jalan Gajah Mada No. 8 Ruko Pasar Mojopanggung Cungking, Banyuwangi 68422 Indonesia",+62 852-0488-4570,"Asia, Indonesia, Makanan Sehat, Sup","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jalan+Gajah+Mada+No.+8+Ruko+Pasar+Mojopanggung+Cungking%2C+Banyuwangi+68422+Indonesia@-8.209538,114.35638",-8.209538,114.356377
51,Pondok Indah Banyuwangi,"Jl. Raya Lijen KM. 8,7 Glagah, Banyuwangi 68432 Indonesia",+62 878-5722-2258,"Indonesia, Asia","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Raya+Lijen+KM.+8%2C7+Glagah%2C+Banyuwangi+68432+Indonesia@-8.217202,114.29294",-8.217202,114.292938
52,Roaster Club,"Ruko Mendut Regency West Cluster Ospresso Coffee shop Lantai 2, Banyuwangi 68416 Indonesia",+62 811-3602-200,Kafe,"5,0 ","https://maps.google.com/maps?saddr=&daddr=Ruko+Mendut+Regency+West+Cluster+Ospresso+Coffee+shop+Lantai+2%2C+Banyuwangi+68416+Indonesia@-8.219416,114.36214",-8.219416,114.362137
53,Kedai Kopi dKoko,"Jl. Brigjen Katamso, Banyuwangi Indonesia",-,"Asia, Indonesia","5,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Brigjen+Katamso%2C+Banyuwangi+Indonesia@-8.226554,114.36698",-8.226554,114.366982
54,Osing Deles,"Jl. KH Agus Salim no. 12A Depan Kantor Diknas Banyuwangi, Banyuwangi 68416 Indonesia",+62 822-1006-8615,"Kafe, Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+KH+Agus+Salim+no.+12A+Depan+Kantor+Diknas+Banyuwangi%2C+Banyuwangi+68416+Indonesia@-8.228529,114.36174",-8.228529,114.361740
55,Jaran Goyang,"Jalan Kolonel Sugiono No. 91 Kertosari - Banyuwangi, Banyuwangi 68418 Indonesia",+62 812-9463-7696,"Asia, Indonesia, Makanan Laut","4,5 ","https://maps.google.com/maps?saddr=&daddr=Jalan+Kolonel+Sugiono+No.+91+Kertosari+-+Banyuwangi%2C+Banyuwangi+68418+Indonesia@-8.225822,114.37035",-8.225822,114.370354
56,Ikan Bakar Pesona,"Jln. Ikan Paus no 1 Perum Griya Pesona, Banyuwangi 68411 Indonesia",+62 333 416887,"Makanan Laut, Indonesia, Asia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jln.+Ikan+Paus+no+1+Perum+Griya+Pesona%2C+Banyuwangi+68411+Indonesia@-8.180675,114.38197",-8.180675,114.381973
57,Rawon Nguling,"Jl. Raya Tambakrejo no. 75 Tongas, Probolinggo 67252 Indonesia",+62 335 511350,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Raya+Tambakrejo+no.+75+Tongas%2C+Probolinggo+67252+Indonesia@-7.718128,113.08176",-7.718128,113.081757
58,Rumah Makan Taman Air Handayani,"Km. 137 Jl Raya Paiton, Probolinggo 67291 Indonesia",+62 335 774143,"Makanan Laut, Asia, Indonesia, Barat daya","4,0 ","https://maps.google.com/maps?saddr=&daddr=Km.+137+Jl+Raya+Paiton%2C+Probolinggo+67291+Indonesia@-7.717965,113.53707",-7.717965,113.537071
59,BeeJay Bakau Resort Restaurant,"Jl. Pelabuhan Perikanan Pantai Pelabuhan Ppp Mayangan, Probolinggo 67217 Indonesia",+62 335 5892001,"Jepang, Indonesia, Asia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl.+Pelabuhan+Perikanan+Pantai+Pelabuhan+Ppp+Mayangan%2C+Probolinggo+67217+Indonesia@-7.779458,113.19957",-7.779458,113.199570
60,Bebek Goreng Bu Lely,"Jl Raya Tongas Timur Rest Area, Probolinggo Indonesia",+62 335 6863687,"Asia, Indonesia","4,0 ","https://maps.google.com/maps?saddr=&daddr=Jl+Raya+Tongas+Timur+Rest+Area%2C+Probolinggo+Indonesia@-7.742724,113.211815",-7.742724,113.211815
